freq	gain	phase
1367	108.6273	80.5934
1371	107.9240	82.0347
1375	107.2205	83.5770
1378	106.6159	85.2254
1382	105.7887	87.4531
1386	105.0516	88.4774
1390	104.1451	92.0378
1394	103.1152	93.7033
1398	101.9980	99.4893
1402	101.0562	103.3981
1406	99.6374	113.4134
1410	98.9621	120.8378
1414	97.9570	137.2451
1417	97.4881	149.0597
1421	98.0912	166.9417
1425	98.4865	178.5679
1429	100.0957	-169.3030
1433	101.1327	-163.3763
1437	102.7127	-155.4020
1441	103.7657	-152.6660
1445	105.0899	-146.7917
1449	106.0764	-145.9315
1453	107.2004	-141.8925
1457	108.0500	-142.1033
1460	109.0270	-140.1478
1464	109.7057	-139.9726
1468	110.6216	-139.5571
1472	111.2283	-139.0157
1476	112.0776	-138.9127
1480	112.7133	-138.6060
1484	113.4551	-138.4093
1488	114.1272	-138.2133
1492	114.7579	-138.3845
1496	115.4709	-138.2771
1499	116.0361	-138.5405
1503	116.7356	-139.0222
1507	117.3203	-139.3606
1511	117.9585	-140.1804
1515	118.5592	-141.1693
1519	119.1775	-141.9781
1523	119.7618	-143.4922
1527	120.3221	-144.5802
1531	120.8853	-145.9669
1535	121.3725	-147.2945
1539	121.9233	-148.1540
1542	122.4403	-149.2919
1546	123.0713	-149.8447
1550	123.7290	-151.0373
1554	124.4956	-152.1402
1558	125.2970	-154.0798
1562	126.1308	-156.3310
1566	127.0090	-159.1571
1570	127.9284	-162.7655
1574	128.9025	-167.2770
1578	129.9035	-173.4901
1582	130.8387	178.7355
1585	131.6238	169.3194
1589	132.2513	159.0536
1593	132.6565	148.0948
1597	132.8769	137.6032
1601	132.9472	127.9843
1605	132.8459	119.2393
1609	132.6388	112.0469
1613	132.3040	105.6032
1617	131.9292	100.0818
1621	131.4657	95.3093
1624	130.9908	91.0941
1628	130.4901	87.5782
1632	129.9863	84.4759
1636	129.4926	81.7340
1640	129.0241	79.3172
1644	128.5746	76.9167
1648	128.1348	74.9118
1652	127.7137	72.7902
1656	127.2974	70.9990
1660	126.8768	69.1798
1664	126.4866	67.5682
1667	126.0640	66.0497
1671	125.6957	64.7107
1675	125.2916	63.5462
