sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
132	42234.000000	41358.000000	876.000000	625.000000	903000c	-4346.000000
133	42934.000000	42105.000000	829.000000	570.000000	903000c	-4395.000000
134	43635.000000	42852.000000	783.000000	548.000000	903000c	-3857.000000
135	44338.000000	43589.000000	749.000000	584.000000	903000c	-3761.000000
136	45042.000000	44337.000000	705.000000	520.000000	903000c	-3034.000000
137	45748.000000	45088.000000	660.000000	479.000000	903000c	-2750.000000
138	46454.000000	45843.000000	611.000000	431.000000	903000c	-2284.000000
139	47161.000000	46588.000000	573.000000	455.000000	903000c	-2188.000000
140	47870.000000	47337.000000	533.000000	419.000000	903000c	-1645.000000
141	48578.000000	48086.000000	492.000000	393.000000	903000c	-1228.000000
142	49287.000000	48832.000000	455.000000	381.000000	903000c	-770.000000
143	49997.000000	49576.000000	421.000000	365.000000	903000d	-316.000000
144	50706.000000	50325.000000	381.000000	312.000000	903000d	-81.000000
145	51415.000000	51079.000000	336.000000	249.000000	903000d	473.000000
146	52123.000000	51812.000000	311.000000	320.000000	903000d	747.000000
147	52832.000000	52546.000000	286.000000	303.000000	903000d	1497.000000
148	53539.000000	53293.000000	246.000000	208.000000	903000d	1706.000000
149	54245.000000	54034.000000	211.000000	193.000000	903000d	2116.000000
150	54951.000000	54767.000000	184.000000	204.000000	903000d	2475.000000
151	55655.000000	55496.000000	159.000000	200.000000	903000d	3085.000000
152	56358.000000	56224.000000	134.000000	180.000000	903000d	3506.000000
153	57059.000000	56951.000000	108.000000	154.000000	903000d	3653.000000
154	57759.000000	57683.000000	76.000000	95.000000	903000d	4191.000000
155	58457.000000	58413.000000	44.000000	65.000000	903000d	4457.000000
156	59152.000000	59133.000000	19.000000	82.000000	903000d	5160.000000
157	59845.000000	59844.000000	1.000000	104.000000	903000d	5214.000000
158	60536.000000	60561.000000	-25.000000	48.000000	903000d	5852.000000
159	61225.000000	61281.000000	-56.000000	-8.000000	903000d	5761.000000
160	61910.000000	61991.000000	-81.000000	-2.000000	903000d	6480.000000
161	62593.000000	62695.000000	-102.000000	-4.000000	903000d	6521.000000
162	63272.000000	63408.000000	-136.000000	-86.000000	903000d	7177.000000
163	63948.000000	64103.000000	-155.000000	-45.000000	903000d	7056.000000
164	64621.000000	64790.000000	-169.000000	-34.000000	903000d	7478.000000
165	65291.000000	65489.000000	-198.000000	-132.000000	903000d	7719.000000
166	65956.000000	66181.000000	-225.000000	-155.000000	903000d	8146.000000
167	66618.000000	66857.000000	-239.000000	-120.000000	903000d	8261.000000
168	67276.000000	67543.000000	-267.000000	-207.000000	903000d	8455.000000
169	67929.000000	68210.000000	-281.000000	-166.000000	903000d	8692.000000
170	68578.000000	68872.000000	-294.000000	-176.000000	903000d	8719.000000
171	69223.000000	69540.000000	-317.000000	-251.000000	903000d	9183.000000
172	69863.000000	70195.000000	-332.000000	-241.000000	903000d	9254.000000
173	70498.000000	70844.000000	-346.000000	-253.000000	903000d	9491.000000
174	71129.000000	71495.000000	-366.000000	-308.000000	903000d	9482.000000
175	71754.000000	72127.000000	-373.000000	-262.000000	903000d	9801.000000
176	72375.000000	72757.000000	-382.000000	-285.000000	903000d	9745.000000
177	72989.000000	73381.000000	-392.000000	-299.000000	903000d	9960.000000
178	73599.000000	73996.000000	-397.000000	-297.000000	903000d	9977.000000
179	74203.000000	74613.000000	-410.000000	-349.000000	903000d	10024.000000
180	74801.000000	75209.000000	-408.000000	-292.000000	903000d	10309.000000
181	75394.000000	75812.000000	-418.000000	-360.000000	903000d	10233.000000
182	75980.000000	76395.000000	-415.000000	-309.000000	903000d	10424.000000
183	76561.000000	76979.000000	-418.000000	-347.000000	903000d	10290.000000
184	77135.000000	77560.000000	-425.000000	-381.000000	903000d	10490.000000
185	77703.000000	78129.000000	-426.000000	-368.000000	903000d	10325.000000
186	78265.000000	78697.000000	-432.000000	-404.000000	903000d	10578.000000
187	78820.000000	79243.000000	-423.000000	-339.000000	903000d	10324.000000
