sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um),dENC_X(um),ddENC_X(um)
986,0.12325,0,23,-23,-155,ff010001,5586944,5521408,15348,1,-6.71793698,0.115,-0.14,0.03999999999999998
987,0.123375,0,0,0,-191,ff010001,5586944,5521408,15348,1,-6.71793698,0.0,-0.115,0.02500000000000001
988,0.1235,0,-25,25,-183,ff010001,5586944,5521408,15348,1,-6.71793698,-0.125,-0.125,-0.009999999999999995
989,0.123625,0,-47,47,-160,ff010001,5607424,5533696,15349,1,-6.5226215,-0.235,-0.10999999999999999,0.015000000000000013
990,0.12375,0,-60,60,-190,ff010001,5607424,5533696,15349,1,-6.5226215,-0.3,-0.065,0.044999999999999984
991,0.123875,0,-77,77,-197,ff010001,5607424,5533696,15349,1,-6.5226215,-0.385,-0.08500000000000002,-0.020000000000000018
992,0.124,0,-93,93,-164,ff010001,5701632,5468160,15350,1,-5.624170291,-0.465,-0.08000000000000002,0.0050000000000000044
993,0.124125,0,-117,117,-108,ff010001,5701632,5468160,15350,1,-5.624170291,-0.585,-0.11999999999999994,-0.039999999999999925
994,0.12425,0,-121,121,-144,ff010001,5701632,5468160,15350,1,-5.624170291,-0.605,-0.020000000000000018,0.09999999999999992
995,0.124375,0,-139,139,-166,ff010001,5742592,5492736,15351,1,-5.23353933,-0.695,-0.08999999999999997,-0.06999999999999995
996,0.1245,0,-155,155,-99,ff010001,5742592,5492736,15351,1,-5.23353933,-0.775,-0.08000000000000007,0.009999999999999898
997,0.124625,0,-173,173,-78,ff010001,5799936,5574656,15352,1,-4.686655985,-0.865,-0.08999999999999997,-0.009999999999999898
998,0.12475,0,-184,184,-90,ff010001,5799936,5574656,15352,1,-4.686655985,-0.92,-0.05500000000000005,0.03499999999999992
